Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug class,Drug name,Drug code
421,Carrier K,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E2361,"Power wheelchair accessory, 22nf sealed lead acid battery, each, (e.g. gel cell, absorbed glassmat)",1,0,,,139.76,24,,,,NA,NA,NA
422,Carrier K,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0760,"Osteogenesis stimulator, low intensity ultrasound, non-invasive",1,0,,,24.06,,,,,NA,NA,NA
423,Carrier K,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0995,"Wheelchair accessory, calf rest/pad, replacement only, each",1,0,,,139.76,,,,,NA,NA,NA
424,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0601,Continuous airway pressure (cpap) device [may be used for either cpap or apap],3538,0.96,,,2.17,,,,,NA,NA,NA
425,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0470,"Respiratory assist device, bi-level pressure capability, without back-up rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)",165,0.95,,,2.18,,,,,NA,NA,NA
426,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0471,"Respiratory assist device, bi-level pressure capability, with back-up rate",66,0.91,,,4.21,,,,,NA,NA,NA
427,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0748,"Osteogenesis stimulator, electrical, noninvasive, spinal applications",15,0.6,,,63.03,,,,,NA,NA,NA
428,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E1399,"Durable medical equipment, miscellaneous",31,0.55,,,86,,,,,NA,NA,NA
429,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0747,"Osteogenesis stimulator, electrical, noninvasive, other than spinal applications",11,0.36,,,90.09,,,,,NA,NA,NA
430,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0760,"Osteogenesis stimulator, low intensity ultrasound, non-invasive",12,0.33,,,102.28,,,,,NA,NA,NA
431,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0466,Home ventilator any type used w/non-invasv intf,6,0.33,,,44.45,,,,,NA,NA,NA
432,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2615,Pos back post/lat wdth <22in,2,0,,,24.98,,,,,NA,NA,NA
433,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2293,Contour back for ped size wc,1,0,,,,,,,,NA,NA,NA
434,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E1234,"Wheelchair, pediatric size, tilt-in-space, folding, adj, wo seating",1,0,,,,,,,,NA,NA,NA
435,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0978,"Wheelchair accessory, positioning belt/safety belt/pelvic strap, each",1,0,,,,,,,,NA,NA,NA
436,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0652,Pneumat comprs seg hom mdl w/calbrtd gradnt prss,1,0,,,,,,,,NA,NA,NA
437,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2231,Solid seat support base,1,0,,,,,,,,NA,NA,NA
438,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0667,"Segmental pneumatic appliance for use with pneumatic compressor, full leg",1,0,,,,,,,,NA,NA,NA
439,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0641,Multi-position stnd fram sys,1,0,,,110.86,,,,,NA,NA,NA
440,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0637,"Combination sit to stand system, any size, with seat lift feature, with or without wheels",1,0,,,73.83,,,,,NA,NA,NA
441,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0990,Whellchair elevating leg res,1,0,,,,,,,,NA,NA,NA
442,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0328,"Ped hospital bed, manual",1,0,,,,,,,,NA,NA,NA
443,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0483,"High frequency chest wall oscillation system, includes all accessories and supplies, each",1,0,,,,,,,,NA,NA,NA
444,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0638,"Standing frame system, any size, with or without wheels",1,0,,,47.08,,,,,NA,NA,NA
445,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2292,Planar seat for ped size wc,1,0,,,,,,,,NA,NA,NA
446,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2613,Position back cush wd <22in,1,0,,,126.74,,,,,NA,NA,NA
447,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2607,Skin pro/pos wc cus wd <22in,1,0,,,,,,,,NA,NA,NA
448,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0562,"Humidifier, heated, used with positive airway pressure device",1,0,,,,,,,,NA,NA,NA
449,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0973,Wheelchair adjustabl height,1,0,,,,,,,,NA,NA,NA
450,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0950,Tray,1,0,,,,,,,,NA,NA,NA
451,Carrier L,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0956,"Wheelchair accessory, lateral trunk or hip support, any type, including fixed mounting hardware, each",1,0,,,,,,,,NA,NA,NA
452,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0601,Continuous airway pressure (cpap) device [may be used for either cpap or apap],3538,0.96,,,2.17,,,,,NA,NA,NA
453,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0470,"Respiratory assist device, bi-level pressure capability, without back-up rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)",165,0.95,,,2.18,,,,,NA,NA,NA
454,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0471,"Respiratory assist device, bi-level pressure capability, with back-up rate",66,0.91,,,4.21,15.3,,,,NA,NA,NA
455,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0748,"Osteogenesis stimulator, electrical, noninvasive, spinal applications",15,0.6,,,63.03,,,,,NA,NA,NA
456,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E1399,"Durable medical equipment, miscellaneous",31,0.55,,,86,,,,,NA,NA,NA
457,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0747,"Osteogenesis stimulator, electrical, noninvasive, other than spinal applications",11,0.36,,,90.09,,,,,NA,NA,NA
458,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0760,"Osteogenesis stimulator, low intensity ultrasound, non-invasive",12,0.33,,,102.28,28.9,,,,NA,NA,NA
459,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0466,Home ventilator any type used w/non-invasv intf,6,0.33,,,44.45,6.2,,,,NA,NA,NA
460,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E2615,Pos back post/lat wdth <22in,2,0,,,24.98,25,,,,NA,NA,NA
461,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E2293,Contour back for ped size wc,1,0,,,,,,,,NA,NA,NA
462,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E1234,"Wheelchair, pediatric size, tilt-in-space, folding, adj, wo seating",1,0,,,,3.2,,,,NA,NA,NA
463,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0978,"Wheelchair accessory, positioning belt/safety belt/pelvic strap, each",1,0,,,,,,,,NA,NA,NA
464,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0652,Pneumat comprs seg hom mdl w/calbrtd gradnt prss,1,0,,,,32.6,,,,NA,NA,NA
465,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E2231,Solid seat support base,1,0,,,,29.4,,,,NA,NA,NA
466,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0667,"Segmental pneumatic appliance for use with pneumatic compressor, full leg",1,0,,,,,,,,NA,NA,NA
467,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0973,Wheelchair adjustabl height,1,0,,,,,,,,NA,NA,NA
468,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0562,"Humidifier, heated, used with positive airway pressure device",1,0,,,,28.9,,,,NA,NA,NA
469,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0990,Whellchair elevating leg res,1,0,,,,,,,,NA,NA,NA
470,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0328,"Ped hospital bed, manual",1,0,,,,29.4,,,,NA,NA,NA
471,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0638,"Standing frame system, any size, with or without wheels",1,0,,,47.08,,,,,NA,NA,NA
472,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E2613,Position back cush wd <22in,1,0,,,126.74,6.1,,,,NA,NA,NA
473,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E2292,Planar seat for ped size wc,1,0,,,,,,,,NA,NA,NA
474,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E2607,Skin pro/pos wc cus wd <22in,1,0,,,,2.4,,,,NA,NA,NA
475,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0641,Multi-position stnd fram sys,1,0,,,110.86,,,,,NA,NA,NA
476,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0637,"Combination sit to stand system, any size, with seat lift feature, with or without wheels",1,0,,,73.83,,,,,NA,NA,NA
477,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0956,"Wheelchair accessory, lateral trunk or hip support, any type, including fixed mounting hardware, each",1,0,,,,,,,,NA,NA,NA
478,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0483,"High frequency chest wall oscillation system, includes all accessories and supplies, each",1,0,,,,,,,,NA,NA,NA
479,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0950,Tray,1,0,,,,,,,,NA,NA,NA
480,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,E0760,"Osteogenesis stimulator, low intensity ultrasound, non-invasive",12,0,0.08,,102.28,,,,,NA,NA,NA
481,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,E1399,"Durable medical equipment, miscellaneous",31,0,0.03,,86,,,,,NA,NA,NA
482,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,E0601,Continuous airway pressure (cpap) device [may be used for either cpap or apap],3538,0,0,,2.17,,,,,NA,NA,NA
483,Carrier L,2020,Durable Medical Equipment,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,HCPC,E0747,"Osteogenesis stimulator, electrical, noninvasive, other than spinal applications",11,0,0,,90.09,,,,,NA,NA,NA
484,Carrier M,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0748,"Osteogenesis stimulator, electrical, noninvasive, spinal applications",2,1,,,13.35,,,,,NA,NA,NA
485,Carrier M,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0760,"Osteogenesis stimulator, low intensity ultrasound, non-invasive",1,1,,,0.2,,,,,NA,NA,NA
486,Carrier M,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,CPT,E2402,"Negative pressure wound therapy electrical pump, stationary or portable",1,1,,,53.6,,,,,NA,NA,NA
487,Carrier M,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0486,"Oral device/appliance used to reduce upper airway collapsibility, adjustable or non-adjustable, custom fabricated, includes fitting and adjustment",1,1,,,75.7,56.9,,,,NA,NA,NA
488,Carrier M,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0747,"Osteogenesis stimulator, electrical, noninvasive, other than spinal applications",2,0,,,69.2,,,,,NA,NA,NA
489,Carrier M,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,E0748,"Osteogenesis stimulator, electrical, noninvasive, spinal applications",2,1,,,13.35,,,,,NA,NA,NA
490,Carrier M,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,E0760,"Osteogenesis stimulator, low intensity ultrasound, non-invasive",1,1,,,0.2,,,,,NA,NA,NA
491,Carrier M,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,E2402,"Negative pressure wound therapy electrical pump, stationary or portable",1,1,,,53.6,,,,,NA,NA,NA
492,Carrier M,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,E0486,"Oral device/appliance used to reduce upper airway collapsibility, adjustable or non-adjustable, custom fabricated, includes fitting and adjustment",1,1,,,75.7,,,,,NA,NA,NA
493,Carrier N,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0471,"Respiratory assist device, bi-level pressure capability, with back-up rate",3,1,,21.8,59.5,,,,,NA,NA,NA
494,Carrier N,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5679,Add lw ext bk/ak cstm mold/prfab not w/lock mech,3,0.67,,,62.67,,,,,NA,NA,NA
495,Carrier N,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5981,All le prostheses,3,0.67,,,52.9,,,,,NA,NA,NA
496,Carrier N,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5321,Ak open end sach,3,0.33,,,62.67,,,,,NA,NA,NA
497,Carrier N,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5624,Addition lower extremity test socket above knee,3,0.33,,,62.67,,,,,NA,NA,NA
498,Carrier N,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5631,Add lw ext abve knee/knee disartic acrylc sockt,3,0.33,,,62.67,,,,,NA,NA,NA
499,Carrier N,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5649,Isch containmt/narrow m-l so,3,0.33,,,62.67,,,,,NA,NA,NA
500,Carrier N,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5650,Tot contact ak/knee disart s,3,0.33,,,62.67,,,,,NA,NA,NA
501,Carrier N,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5671,"Addition to lower extremity, below knee / above knee suspension locking mechanism (shuttle, lanyard or equal), excludes socket insert",3,0.33,,,62.67,,,,,NA,NA,NA
502,Carrier N,2020,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,L5673,"Addition to lower extremity, below knee/above knee, custom fabricated from existing mold or prefabricated, socket insert, silicone gel, elastomeric or equal, for use with locking mechanism",3,0.33,,,62.67,,,,,NA,NA,NA
503,Carrier N,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0471,"Respiratory assist device, bi-level pressure capability, with back-up rate",3,1,,21.8,59.5,,,,,NA,NA,NA
504,Carrier N,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0562,"Humidifier, heated, used with positive airway pressure device",2,1,,21.8,44.2,,,,,NA,NA,NA
505,Carrier N,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E2402,"Negative pressure wound therapy electrical pump, stationary or portable",2,1,,,20.7,,,,,NA,NA,NA
506,Carrier N,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L2820,"Addition to lower extremity orthosis, soft interface for molded plastic, below knee section",2,1,,,47.25,,,,,NA,NA,NA
507,Carrier N,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5620,"Addition to lower extremity, test socket, below knee",2,1,,,42.25,,,,,NA,NA,NA
508,Carrier N,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5637,"Addition to lower extremity, below knee, total contact",2,1,,,42.25,,,,,NA,NA,NA
509,Carrier N,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5679,Add lw ext bk/ak cstm mold/prfab not w/lock mech,2,1,,,42.25,,,,,NA,NA,NA
510,Carrier N,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5685,Add low ext pros belw knee susp/seal sleeve ea,2,1,,,42.25,,,,,NA,NA,NA
511,Carrier N,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5910,"Addition, endoskeletal system, below knee, alignable system",2,1,,,42.25,,,,,NA,NA,NA
512,Carrier N,2020,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,L5940,"Addition, endoskeletal system, below knee, ultra-light material (titanium, carbon fiber or equal)",2,1,,,42.25,,,,,NA,NA,NA
513,Carrier A,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,44207,"Laparoscopy, surgical; colectomy, partial, with anastomosis, with coloproctostomy (low pelvic anastomosis)",8,1,,,309,,,,,NA,NA,NA
514,Carrier A,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22842,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 3 to 6 vertebral segments (list separately in addition to code for primary procedure)",8,0.88,,9,48,,,,,NA,NA,NA
515,Carrier A,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)",8,0.75,,9,96,,,,,NA,NA,NA
516,Carrier A,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,20931,"Allograft, structural, for spine surgery only (list separately in addition to code for primary procedure)",7,0.71,,3.43,61.71,,,,,NA,NA,NA
517,Carrier A,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,20930,Allograft for spine surgery only morselized,17,0.65,,4.24,25.41,,,,,NA,NA,NA
518,Carrier A,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22840,"Posterior non-segmental instrumentation (eg, harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at c1, facet screw fixation) (list separately in addition to code for primary procedure)",11,0.64,,6.55,28.36,,,,,NA,NA,NA
519,Carrier A,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,20936,Autograft spine surgery local from same incision,8,0.63,,9,63,,,,,NA,NA,NA
520,Carrier A,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22558,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",8,0.63,,9,69,,,,,NA,NA,NA
521,Carrier A,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar",8,0.63,,9,45,,,,,NA,NA,NA
522,Carrier A,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22853,"Insertion of interbody biomechanical device(s) (eg, synthetic cage, mesh) with integral anterior instrumentation for device anchoring (eg, screws, flanges), when performed, to intervertebral disc space in conjunction with interbody arthrodesis, each interspace (list separately in addition to code for primary procedure)",18,0.56,,4,44,,,,,NA,NA,NA
523,Carrier A,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22840,"Posterior non-segmental instrumentation (eg, harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at c1, facet screw fixation) (list separately in addition to code for primary procedure)",8,1,,,309,,,,,NA,NA,NA
524,Carrier A,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)",7,1,,3.43,48,,,,,NA,NA,NA
525,Carrier A,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22842,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 3 to 6 vertebral segments (list separately in addition to code for primary procedure)",7,1,,,24,,,,,NA,NA,NA
526,Carrier A,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,44207,"Laparoscopy, surgical; colectomy, partial, with anastomosis, with coloproctostomy (low pelvic anastomosis)",7,1,,10.29,48,,,,,NA,NA,NA
527,Carrier A,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22558,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",8,0.88,,9,48,,,,,NA,NA,NA
528,Carrier A,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar",8,0.75,,9,96,,,,,NA,NA,NA
529,Carrier A,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22853,"Insertion of interbody biomechanical device(s) (eg, synthetic cage, mesh) with integral anterior instrumentation for device anchoring (eg, screws, flanges), when performed, to intervertebral disc space in conjunction with interbody arthrodesis, each interspace (list separately in addition to code for primary procedure)",17,0.65,,4.24,25.41,,,,,NA,NA,NA
530,Carrier A,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,20936,Autograft spine surgery local from same incision,11,0.64,,6.55,28.36,,,,,NA,NA,NA
531,Carrier A,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,20931,"Allograft, structural, for spine surgery only (list separately in addition to code for primary procedure)",8,0.63,,9,63,,,,,NA,NA,NA
532,Carrier A,2020,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,20930,Allograft for spine surgery only morselized,18,0.56,,4,44,,,,,NA,NA,NA
533,Carrier B,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22551,"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below c2",7,1,,,42.71,,,,,NA,NA,NA
534,Carrier B,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22842,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 3 to 6 vertebral segments (list separately in addition to code for primary procedure)",9,0.89,,97.24,84.54,,,,,NA,NA,NA
535,Carrier B,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22853,"Insertion of interbody biomechanical device(s) (eg, synthetic cage, mesh) with integral anterior instrumentation for device anchoring (eg, screws, flanges), when performed, to intervertebral disc space in conjunction with interbody arthrodesis, each interspace (list separately in addition to code for primary procedure)",27,0.82,,97.24,61.33,,,,,NA,NA,NA
536,Carrier B,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22840,"Posterior non-segmental instrumentation (eg, harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at c1, facet screw fixation) (list separately in addition to code for primary procedure)",11,0.82,,,64.01,,,,,NA,NA,NA
537,Carrier B,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22845,Anterior instrumentation; 2 to 3 vertebral segments (list separately in addition to code for primary procedure),14,0.71,,,66.08,,,,,NA,NA,NA
538,Carrier B,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22558,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",20,0.7,,194.36,82.72,,,,,NA,NA,NA
539,Carrier B,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22614,"Arthrodesis, posterior or posterolateral technique, single level; each additional vertebral segment (list separately in addition to code for primary procedure)",10,0.7,,97.24,77.6,,,,,NA,NA,NA
540,Carrier B,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)",18,0.67,,194.36,91.31,,,,,NA,NA,NA
541,Carrier B,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar",15,0.67,,194.36,79.52,,,,,NA,NA,NA
542,Carrier B,2020,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22585,Arthrd ant ntrbd min dsc ea addl interspace,11,0.55,,97.24,113.88,,,,,NA,NA,NA
